id,LIB17,NDP17,GP17,TOTAL17,LIB13,NDP13,GP13,TOTAL13
Abbotsford-Mission,"12,879.00","7,339.00","4,297.00","25,159.00","10,417.00","5,591.00","1,865.00","20,557.00"
Abbotsford South,"11,673.00","6,297.00","3,338.00","22,250.00","9,563.00","4,210.00",,"20,032.00"
Abbotsford West,"11,618.00","6,474.00","2,280.00","21,037.00","9,473.00","5,430.00",877.00,"18,702.00"
Boundary-Similkameen,"9,513.00","7,275.00","2,274.00","22,227.00","8,499.00","7,113.00","1,602.00","18,244.00"
Burnaby-Deer Lake,"6,491.00","8,747.00","2,209.00","18,265.00","7,286.00","8,189.00","1,417.00","16,892.00"
Burnaby-Edmonds,"6,404.00","10,827.00","2,728.00","19,959.00","6,950.00","9,253.00","1,573.00","17,991.00"
Burnaby-Lougheed,"8,391.00","10,911.00","3,127.00","22,703.00","8,209.00","8,952.00","1,665.00","20,225.00"
Burnaby North,"9,290.00","11,447.00","2,830.00","23,567.00","10,543.00","9,875.00","1,577.00","22,518.00"
Cariboo-Chilcotin,"8,520.00","3,801.00","2,174.00","14,495.00","7,679.00","4,740.00",747.00,"13,669.00"
Cariboo North,"6,359.00","4,430.00",919.00,"12,455.00","5,867.00","3,036.00",,"14,167.00"
Chilliwack,"9,280.00","6,207.00","3,277.00","19,166.00","9,989.00","6,551.00","1,766.00","21,002.00"
Chilliwack-Kent,"11,841.00","7,273.00","3,335.00","22,449.00","10,053.00","7,364.00",,"20,452.00"
Columbia River-Revelstoke,"6,620.00","5,248.00","1,708.00","14,570.00","4,847.00","6,463.00",921.00,"13,393.00"
Coquitlam-Burke Mountain,"10,388.00","10,301.00","2,771.00","23,460.00","9,766.00","7,315.00","1,144.00","19,573.00"
Coquitlam-Maillardville,"8,519.00","11,438.00","2,467.00","22,599.00","9,889.00","9,930.00","1,891.00","21,710.00"
Courtenay-Comox,"10,697.00","10,886.00","5,351.00","29,135.00","14,248.00","12,480.00","3,718.00","32,186.00"
Cowichan Valley,"8,400.00","9,603.00","11,475.00","30,642.00","9,299.00","10,696.00","5,102.00","26,646.00"
Delta North,"9,319.00","11,465.00","2,697.00","23,481.00","9,613.00","9,410.00","1,312.00","21,586.00"
Delta South,"11,123.00","5,228.00","2,349.00","25,225.00","8,721.00","3,700.00",,"23,797.00"
Esquimalt-Metchosin,"7,055.00","11,816.00","6,339.00","25,548.00","6,511.00","10,963.00","4,928.00","22,745.00"
Fraser-Nicola,"6,597.00","6,005.00","2,517.00","15,717.00","6,002.00","5,388.00","1,314.00","13,599.00"
Kamloops-North Thompson,"12,001.00","7,538.00","5,111.00","24,837.00","12,183.00","9,139.00",,"23,402.00"
Kamloops-South Thompson,"15,465.00","6,072.00","5,785.00","27,726.00","14,956.00","9,204.00",,"26,188.00"
Kelowna-Lake Country,"15,286.00","5,345.00","4,951.00","25,582.00","12,149.00","5,306.00","1,591.00","21,397.00"
Kelowna-Mission,"15,399.00","5,720.00","3,836.00","26,931.00","13,687.00","6,221.00",,"24,072.00"
Kelowna West,"15,674.00","6,672.00","3,628.00","26,544.00","12,405.00","6,588.00",,"21,361.00"
Kootenay East,"9,666.00","5,069.00","1,926.00","17,086.00","10,252.00","6,023.00",,"16,275.00"
Kootenay West,"4,547.00","11,164.00","2,976.00","18,687.00","3,841.00","11,349.00",,"18,012.00"
Langford-Juan de Fuca,"6,544.00","13,224.00","4,795.00","25,067.00","7,120.00","12,338.00","3,682.00","23,140.00"
Langley,"10,755.00","8,384.00","3,699.00","24,225.00","14,039.00","7,403.00","2,608.00","27,292.00"
Langley East,"16,348.00","8,820.00","4,968.00","30,584.00","15,989.00","7,511.00","2,229.00","29,016.00"
Maple Ridge-Mission,"10,663.00","10,988.00","3,467.00","26,197.00","10,327.00","8,820.00","1,818.00","22,155.00"
Maple Ridge-Pitt Meadows,"10,428.00","12,045.00","3,329.00","26,886.00","10,824.00","10,204.00","2,178.00","23,795.00"
Mid Island-Pacific Rim,"6,578.00","12,556.00","5,206.00","25,602.00","6,341.00","10,569.00",,"18,366.00"
Nanaimo,"8,912.00","12,746.00","5,454.00","27,389.00","8,568.00","10,821.00","2,532.00","23,395.00"
Nanaimo-North Cowichan,"7,380.00","12,275.00","6,244.00","26,173.00","7,685.00","11,542.00","3,430.00","24,978.00"
Nechako Lakes,"5,307.00","2,909.00",878.00,"9,758.00","5,324.00","2,737.00",510.00,"9,898.00"
Nelson-Creston,"5,087.00","7,685.00","5,130.00","18,215.00","4,577.00","8,200.00","3,387.00","16,164.00"
New Westminster,"5,870.00","14,377.00","6,939.00","27,683.00","8,997.00","13,170.00","2,252.00","26,965.00"
North Coast,"3,079.00","5,243.00",826.00,"9,148.00","2,692.00","4,617.00",831.00,"8,140.00"
North Island,"9,148.00","12,255.00","3,846.00","25,792.00","9,883.00","11,885.00",,"23,443.00"
North Vancouver-Lonsdale,"10,373.00","12,361.00","4,148.00","27,198.00","11,060.00","9,872.00","2,257.00","24,326.00"
North Vancouver-Seymour,"13,194.00","9,808.00","5,208.00","28,457.00","13,186.00","8,524.00","1,897.00","25,894.00"
Oak Bay-Gordon Head,"6,952.00","6,912.00","15,257.00","29,246.00","7,767.00","7,536.00","10,722.00","26,517.00"
Parksville-Qualicum,"14,468.00","9,189.00","8,157.00","32,059.00","14,518.00","10,732.00",,"28,960.00"
Peace River North,"9,707.00",973.00,,"14,638.00","7,905.00","1,319.00",,"13,411.00"
Peace River South,"6,634.00","2,102.00",,"8,736.00","4,373.00","1,988.00",,"9,358.00"
Penticton,"14,470.00","7,874.00","5,061.00","27,405.00","11,536.00","10,154.00",,"25,163.00"
Port Coquitlam,"7,582.00","14,079.00","3,237.00","25,234.00","8,120.00","11,755.00",,"22,205.00"
Port Moody-Coquitlam,"9,910.00","11,754.00","2,985.00","24,649.00","9,675.00","9,238.00","1,708.00","20,858.00"
Powell River-Sunshine Coast,"6,602.00","13,646.00","6,505.00","26,913.00","7,792.00","13,120.00","2,856.00","23,768.00"
Prince George-Mackenzie,"10,725.00","5,942.00","2,109.00","18,776.00","10,524.00","6,488.00","1,077.00","18,934.00"
Prince George-Valemount,"11,189.00","5,683.00","2,353.00","19,225.00","11,291.00","7,116.00",,"19,826.00"
Richmond North Centre,"7,916.00","5,135.00","1,579.00","15,083.00","9,462.00","4,436.00","1,678.00","18,990.00"
Richmond-Queensborough,"8,218.00","8,084.00","2,524.00","19,838.00","11,592.00","6,047.00","1,178.00","21,199.00"
Richmond South Centre,"6,914.00","5,666.00","1,561.00","14,141.00",,,,
Richmond-Steveston,"10,332.00","8,542.00","2,833.00","21,707.00","12,137.00","6,608.00","1,899.00","23,431.00"
Saanich North and the Islands,"9,321.00","10,764.00","14,775.00","35,224.00","10,352.00","10,515.00","10,136.00","31,602.00"
Saanich South,"8,716.00","11,921.00","7,129.00","28,073.00","9,256.00","11,946.00","4,011.00","26,228.00"
Shuswap,"14,829.00","7,161.00","4,175.00","26,575.00","11,992.00","7,398.00","2,338.00","25,023.00"
Skeena,"6,772.00","5,613.00",,"12,965.00","5,087.00","5,609.00",,"11,756.00"
Stikine,"3,531.00","4,748.00",,"9,113.00","3,172.00","4,081.00",303.00,"8,662.00"
Surrey-Cloverdale,"11,918.00","9,763.00","3,091.00","25,051.00","18,051.00","8,777.00",,"30,322.00"
Surrey-Fleetwood,"7,413.00","11,085.00","2,190.00","20,688.00","8,974.00","8,774.00","1,147.00","19,755.00"
Surrey-Green Timbers,"5,056.00","8,945.00","1,112.00","15,345.00","5,581.00","9,386.00",655.00,"16,167.00"
Surrey-Guildford,"7,015.00","9,262.00","1,840.00","18,579.00","6,604.00","9,788.00",,"17,348.00"
Surrey-Newton,"5,100.00","9,744.00","1,171.00","17,003.00","14,139.00","9,308.00","1,478.00","26,043.00"
Surrey-Panorama,"10,064.00","12,226.00","1,620.00","24,042.00","9,172.00","7,539.00",,"19,049.00"
Surrey South,"13,509.00","8,718.00","3,141.00","26,520.00",,,,
Surrey-Whalley,"5,293.00","10,315.00","1,893.00","17,597.00","5,004.00","10,405.00",,"16,939.00"
Surrey-White Rock,"14,101.00","8,648.00","4,574.00","28,273.00","15,092.00","7,180.00","2,304.00","25,982.00"
Vancouver-Fairview,"9,436.00","16,035.00","4,007.00","29,627.00","11,298.00","12,649.00","2,785.00","26,732.00"
Vancouver-False Creek,"10,370.00","9,955.00","3,880.00","24,599.00","11,228.00","7,981.00","1,928.00","21,507.00"
Vancouver-Fraserview,"9,985.00","11,487.00","1,826.00","23,651.00","10,118.00","9,648.00","1,230.00","21,649.00"
Vancouver-Hastings,"5,160.00","14,351.00","4,222.00","23,936.00","5,936.00","12,782.00","2,386.00","21,478.00"
Vancouver-Kensington,"7,236.00","12,504.00","2,580.00","22,501.00","7,965.00","10,687.00","1,578.00","20,802.00"
Vancouver-Kingsway,"5,377.00","12,031.00","1,848.00","19,845.00","6,600.00","10,409.00","1,327.00","18,336.00"
Vancouver-Langara,"10,047.00","8,057.00","2,894.00","21,170.00","10,234.00","7,447.00","1,055.00","19,455.00"
Vancouver-Mount Pleasant,"3,917.00","15,962.00","4,136.00","24,441.00","3,942.00","13,845.00","2,506.00","21,031.00"
Vancouver-Point Grey,"8,414.00","14,195.00","2,604.00","25,374.00","10,436.00","11,499.00","1,636.00","24,163.00"
Vancouver-Quilchena,"12,464.00","6,244.00","3,301.00","22,274.00","14,496.00","5,705.00","1,667.00","22,539.00"
Vancouver-West End,"5,064.00","13,420.00","3,059.00","22,011.00","5,349.00","10,755.00","2,156.00","18,932.00"
Vernon-Monashee,"13,625.00","8,355.00","6,139.00","28,460.00","12,503.00","9,233.00","1,905.00","26,979.00"
Victoria-Beacon Hill,"4,689.00","16,057.00","9,194.00","30,267.00","4,386.00","12,697.00","8,796.00","26,010.00"
Victoria-Swan Lake,"4,005.00","13,531.00","7,491.00","25,234.00","5,055.00","12,350.00","5,260.00","22,665.00"
West Vancouver-Capilano,"13,596.00","5,622.00","4,575.00","23,793.00","15,776.00","5,267.00",,"23,537.00"
West Vancouver-Sea to Sky,"10,449.00","6,532.00","6,947.00","24,257.00","11,275.00","6,966.00","2,359.00","21,478.00"